pH,totalAddedVol
4.1,0
4.22,1.5
4.39,3
4.53,4.5
4.66,6
4.75,7.5
4.86,9
4.93,10.5
5.03,12
5.13,13.5
5.24,15
5.37,16.5
5.39,16.9
5.44,17.3
5.48,17.7
5.51,18.1
5.56,18.5
5.62,18.9
5.68,19.3
5.7,19.4
5.73,19.5
5.73,19.6
5.75,19.7
5.79,19.8
5.85,19.9
5.86,20
5.87,20.1
5.94,20.2
5.98,20.6
6.14,20.8
6.24,21
6.33,21.2
6.64,21.4
7.33,21.6
9.73,21.7
12.95,22.7
13.52,23.7
13.83,24.7
